OVR,Rank,Tier,Name
193,RB64,9,Trey Sermon
194,RB65,9,Isaac Guerendo
195,WR78,10,Elijah Moore
196,WR79,10,Jalin Hyatt
197,WR80,10,Luke McCaffrey
199,QB30,6,Gardner Minshew
200,TE24,8,Colby Parkinson
301,RB66,9,Dameon Pierce
302,RB67,9,Clyde Edwards-Helaire
303,RB68,9,Elijah Mitchell
304,RB69,9,Miles Sanders
305,RB70,9,Ty Chandler
306,RB71,9,Alexander Mattison
307,RB72,9,Samaje Perine
308,RB73,9,Kimani Vidal
309,RB74,9,Jordan Mason
310,RB75,9,Keilan Robinson
311,RB76,9,Dylan Laube
312,RB77,9,Rasheen Ali
313,RB78,9,Jared Patterson
401,TE25,8,Noah Fant
402,TE26,8,Cade Otton
403,TE27,8,T.J. Hockenson
404,TE28,8,Theo Johnson
405,TE29,8,JaTavion Sanders
406,TE30,8,Ben Sinnott
407,TE31,8,Isaiah Likely
408,TE32,8,Chigoziem Okonkwo
409,TE33,8,Juwan Johnson
410,TE34,8,Will Dissly
411,TE35,8,Jelani Woods
412,TE36,8,Davis Allen
501,QB31,6,Russell Wilson
502,QB32,6,Drake Maye
503,QB33,6,Justin Fields
504,QB34,6,Zach Wilson
505,QB35,6,Drew Lock
506,QB36,6,Jacoby Brissett
