OVR;Pos;Rank;Tier;Name;Team;Bye
1;QB;QB1;1;Josh Allen;BUF;
2;WR;WR1;1;Ja'Marr Chase;CIN;
3;WR;WR2;2;Jaxon Smith-Njigba;SEA;
4;QB;QB2;2;Drake Maye;NE;
5;WR;WR3;2;Puka Nacua;LAR;
6;RB;RB1;2;Bijan Robinson;ATL;
7;RB;RB2;2;Jahmyr Gibbs;DET;
8;QB;QB3;2;Jayden Daniels;WAS;
9;QB;QB4;2;Lamar Jackson;BAL;
10;WR;WR4;3;Amon-Ra St. Brown;DET;
11;WR;WR5;3;Malik Nabers;NYG;
12;WR;WR6;3;CeeDee Lamb;DAL;
13;Pick;;3;1.01;;
14;QB;QB5;3;Joe Burrow;CIN;
15;QB;QB6;3;Caleb Williams;CHI;
16;RB;RB3;3;Ashton Jeanty;LV;
17;WR;WR7;3;Justin Jefferson;MIN;
18;WR;WR8;3;Drake London;ATL;
19;QB;QB7;4;Patrick Mahomes;KC;
20;RB;RB4;4;Omarion Hampton;LAC;
21;TE;TE1;4;Trey McBride;ARI;
22;TE;TE2;4;Brock Bowers;LV;
23;RB;RB5;4;Devon Achane;MIA;
24;QB;QB8;4;Jalen Hurts;PHI;
25;WR;WR9;5;Tetairoa McMillan;CAR;
26;Pick;;5;1.02;;
27;QB;QB9;5;Jaxson Dart;NYG;
28;QB;QB10;5;Justin Herbert;LAC;
29;WR;WR10;5;George Pickens;DAL;
30;WR;WR11;5;Chris Olave;NO;
31;QB;QB11;5;Trevor Lawrence;JAX;
32;TE;TE3;5;Colston Loveland;CHI;
33;Pick;;5;1.03;;
34;WR;WR12;5;Garrett Wilson;NYJ;
35;WR;WR13;5;Nico Collins;HOU;
36;QB;QB12;5;Brock Purdy;SF;
37;QB;QB13;5;Bo Nix;DEN;
38;RB;RB6;6;James Cook;BUF;
39;RB;RB7;6;Jonathan Taylor;IND;
40;WR;WR14;6;Emeka Egbuka;TB;
41;Pick;;6;1.04;;
42;WR;WR15;6;Ladd McConkey;LAC;
43;RB;RB8;6;Kenneth Walker;KC;
44;Pick;;6;1.05;;
45;WR;WR16;7;Rome Odunze;CHI;
46;WR;WR17;7;Luther Burden;CHI;
47;QB;QB14;7;Dak Prescott;DAL;
48;WR;WR18;7;Tee Higgins;CIN;
49;RB;RB9;7;Bucky Irving;TB;
50;WR;WR19;7;Brian Thomas;JAX;
51;QB;QB15;7;Jordan Love;GB;
52;WR;WR20;7;Rashee Rice;KC;
53;TE;TE4;7;Tyler Warren;IND;
54;RB;RB10;7;Chase Brown;CIN;
55;RB;RB11;8;TreVeyon Henderson;NE;
56;RB;RB12;8;Breece Hall;NYJ;
57;RB;RB13;8;Quinshon Judkins;CLE;
58;RB;RB14;8;Christian McCaffrey;SF;
59;WR;WR21;8;Zay Flowers;BAL;
60;Pick;;8;1.06;;
61;WR;WR22;8;Marvin Harrison;ARI;
62;QB;QB16;8;Jared Goff;DET;
63;RB;RB15;8;Kyren Williams;LAR;
64;QB;QB17;9;Baker Mayfield;TB;
65;TE;TE5;9;Harold Fannin;CLE;
66;RB;RB16;9;Saquon Barkley;PHI;
67;Pick;;9;1.07;;
68;RB;RB17;9;Javonte Williams;DAL;
69;WR;WR23;9;Jameson Williams;DET;
70;WR;WR24;9;Jaylen Waddle;DEN;
71;WR;WR25;9;A.J. Brown;PHI;
72;WR;WR26;9;DeVonta Smith;PHI;
73;RB;RB18;9;Travis Etienne;NO;
74;QB;QB18;9;Cam Ward;TEN;
75;Pick;;9;1.08;;
76;QB;QB19;9;C.J. Stroud;HOU;
77;RB;RB19;9;Cam Skattebo;NYG;
78;RB;RB20;9;Josh Jacobs;GB;
79;Pick;;9;1.09;;
80;QB;QB20;9;Kyler Murray;MIN;
81;WR;WR27;9;Travis Hunter;JAX;
82;Pick;;9;1.10;;
83;QB;QB21;9;Sam Darnold;SEA;
84;TE;TE6;9;Tucker Kraft;GB;
85;QB;QB22;9;Tyler Shough;NO;
86;Pick;;9;1.11;;
87;WR;WR28;9;DJ Moore;BUF;
88;WR;WR29;9;Jordan Addison;MIN;
89;QB;QB23;9;Bryce Young;CAR;
90;Pick;;9;1.12;;
91;WR;WR30;9;Michael Wilson;ARI;
92;RB;RB21;9;Bhayshul Tuten;JAX;
93;RB;RB22;9;Derrick Henry;BAL;
94;WR;WR31;9;Davante Adams;LAR;
95;WR;WR32;10;Alec Pierce;IND;
96;RB;RB23;10;RJ Harvey;DEN;
97;WR;WR33;10;Terry McLaurin;WAS;
98;QB;QB24;10;Daniel Jones;IND;
99;TE;TE7;10;Kyle Pitts;ATL;
100;WR;WR34;10;DK Metcalf;PIT;
101;WR;WR35;10;Michael Pittman;PIT;
102;QB;QB25;10;Malik Willis;MIA;
103;Pick;;10;2.01;;
104;WR;WR36;10;Mike Evans;SF;
105;Pick;;10;2.02;;
106;WR;WR37;10;Wan'Dale Robinson;TEN;
107;RB;RB24;10;D'Andre Swift;CHI;
108;Pick;;10;2.03;;
109;TE;TE8;10;Oronde Gadsden;LAC;
110;Pick;;10;2.04;;
111;TE;TE9;10;Sam LaPorta;DET;
112;WR;WR38;10;Ricky Pearsall;SF;
113;WR;WR39;10;Christian Watson;GB;
114;QB;QB26;10;Matthew Stafford;LAR;
115;WR;WR40;11;Quentin Johnston;LAC;
116;WR;WR41;11;Jayden Higgins;HOU;
117;WR;WR42;11;Xavier Worthy;KC;
118;RB;RB25;11;Tyler Allgeier;ARI;
119;WR;WR43;11;Jakobi Meyers;JAX;
120;RB;RB26;11;David Montgomery;HOU;
121;WR;WR44;11;Matthew Golden;GB;
122;WR;WR45;11;Courtland Sutton;DEN;
123;WR;WR46;11;Chris Godwin;TB;
124;RB;RB27;11;Kyle Monangai;CHI;
125;WR;WR47;11;Romeo Doubs;NE;
126;TE;TE10;11;Dalton Kincaid;BUF;
127;RB;RB28;11;Jaylen Warren;PIT;
128;QB;QB27;11;Michael Penix;ATL;
129;WR;WR48;11;Jauan Jennings;;
130;Pick;;11;2.05;;
131;WR;WR49;11;Brandon Aiyuk;SF;
132;WR;WR50;11;Parker Washington;JAX;
133;Pick;;11;2.06;;
134;Pick;;11;2.07;;
135;TE;TE11;12;George Kittle;SF;
136;Pick;;12;2.08;;
137;RB;RB29;12;Chuba Hubbard;CAR;
138;RB;RB30;12;Zach Charbonnet;SEA;
139;WR;WR51;12;Josh Downs;IND;
140;RB;RB31;12;Rico Dowdle;PIT;
141;TE;TE12;12;Isaiah Likely;NYG;
142;TE;TE13;12;Jake Ferguson;DAL;
143;RB;RB32;12;Blake Corum;LAR;
144;RB;RB33;12;J.K. Dobbins;DEN;
145;WR;WR52;12;Jayden Reed;GB;
146;TE;TE14;12;Brenton Strange;JAX;
147;WR;WR53;12;Deebo Samuel;;
148;WR;WR54;12;Khalil Shakir;BUF;
149;RB;RB34;12;Rhamondre Stevenson;NE;
150;RB;RB35;13;Rachaad White;WAS;
151;WR;WR55;13;Troy Franklin;DEN;
152;WR;WR56;13;Jalen McMillan;TB;
153;TE;TE15;13;Mason Taylor;NYJ;
154;QB;QB28;13;Tua Tagovailoa;ATL;
155;Pick;;13;2.09;;
156;Pick;;13;2.10;;
157;Pick;;13;2.11;;
158;QB;QB29;13;J.J. McCarthy;MIN;
159;Pick;;13;2.12;;
160;RB;RB36;13;Woody Marks;HOU;
161;WR;WR57;13;Jalen Coker;CAR;
162;RB;RB37;13;Tyrone Tracy;NYG;
163;WR;WR58;13;Stefon Diggs;;
164;RB;RB38;14;Trey Benson;ARI;
165;RB;RB39;14;Kenneth Gainwell;TB;
166;TE;TE16;14;Dallas Goedert;PHI;
167;RB;RB40;14;Isiah Pacheco;DET;
168;WR;WR59;14;Rashid Shaheed;SEA;
169;RB;RB41;14;Tony Pollard;TEN;
170;Pick;;14;3.01;;
171;RB;RB42;14;Jordan Mason;MIN;
172;RB;RB43;14;Alvin Kamara;NO;
173;WR;WR60;14;Kayshon Boutte;NE;
174;WR;WR61;14;Jaylin Noel;HOU;
175;TE;TE17;14;David Njoku;;
176;TE;TE18;14;T.J. Hockenson;MIN;
177;RB;RB44;14;Jacory Croskey-Merritt;WAS;
178;Pick;;14;3.02;;
179;RB;RB45;15;Tyjae Spears;TEN;
180;WR;WR62;15;Elic Ayomanor;TEN;
181;WR;WR63;15;Chimere Dike;TEN;
182;WR;WR64;15;Tre Harris;LAC;
183;QB;QB30;15;Shedeur Sanders;CLE;
184;WR;WR65;15;Jerry Jeudy;CLE;
185;WR;WR66;15;Tyreek Hill;;
186;RB;RB46;15;Aaron Jones;MIN;
187;WR;WR67;15;Jack Bech;LV;
188;Pick;;15;3.03;;
189;QB;QB31;16;Jacoby Brissett;ARI;
190;RB;RB47;16;Dylan Sampson;CLE;
191;WR;WR68;16;Tory Horton;SEA;
192;TE;TE19;16;Mark Andrews;BAL;
193;QB;QB32;16;Geno Smith;NYJ;
194;RB;RB48;16;Jonathon Brooks;CAR;
195;WR;WR69;16;Keon Coleman;BUF;
196;WR;WR70;16;Pat Bryant;DEN;
197;WR;WR71;16;Adonai Mitchell;NYJ;
198;TE;TE20;16;Terrance Ferguson;LAR;
199;WR;WR72;16;Kyle Williams;NE;
200;WR;WR73;16;Tez Johnson;TB;
201;WR;WR74;16;Calvin Ridley;TEN;
202;RB;RB49;16;Kaleb Johnson;PIT;
203;Pick;;16;3.04;;
204;QB;QB33;17;Mac Jones;SF;
205;TE;TE21;17;AJ Barner;SEA;
206;WR;WR75;17;Darnell Mooney;NYG;
207;WR;WR76;17;Keenan Allen;;
208;Pick;;17;3.05;;
209;RB;RB50;17;Braelon Allen;NYJ;
210;WR;WR77;17;Malik Washington;MIA;
211;RB;RB51;17;Devin Neal;NO;
212;WR;WR78;17;Isaac TeSlaa;DET;
213;RB;RB52;17;Chris Rodriguez;JAX;
214;Pick;;17;3.06;;
215;WR;WR79;17;Xavier Legette;CAR;
216;WR;WR80;17;Cedric Tillman;CLE;
217;TE;TE22;17;Travis Kelce;KC;
218;QB;QB34;17;Justin Fields;KC;
219;Pick;;17;3.07;;
220;TE;TE23;17;Hunter Henry;NE;
221;RB;RB53;17;Kimani Vidal;LAC;
222;RB;RB54;17;Joe Mixon;;
223;RB;RB55;17;Brian Robinson;ATL;
224;Pick;;17;3.08;;
225;RB;RB56;18;Tank Bigsby;PHI;
226;QB;QB35;18;Anthony Richardson;IND;
227;TE;TE24;18;Chig Okonkwo;WAS;
228;WR;WR81;18;Rashod Bateman;BAL;
229;RB;RB57;18;James Conner;ARI;
230;TE;TE25;18;Dalton Schultz;HOU;
231;WR;WR82;18;Cooper Kupp;SEA;
232;RB;RB58;18;Emanuel Wilson;SEA;
233;TE;TE26;18;Theo Johnson;NYG;
234;Pick;;18;3.09;;
235;TE;TE27;18;Cade Otton;TB;
236;WR;WR83;18;Marquise Brown;PHI;
237;WR;WR84;18;Tank Dell;HOU;
238;QB;QB36;18;Aaron Rodgers;;
